City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ushuaia,-54.8,-68.3,8.81,53,20,5.66,AR,1635380943
rikitea,-23.1203,-134.9692,23.64,74,34,1.51,PF,1635380891
yaan,7.3833,8.5667,23.73,89,97,2.65,NG,1635380944
port alfred,-33.5906,26.891,19.38,83,100,11.68,ZA,1635380944
batagay-alyta,67.8006,130.4114,-15.98,93,100,0.2,RU,1635380945
lebu,-37.6167,-73.65,11.69,88,26,5.88,CL,1635380753
raudeberg,61.9875,5.1352,12.33,91,92,4.47,NO,1635380945
new norfolk,-42.7826,147.0587,20.5,43,59,1.34,AU,1635380946
saint george,37.1041,-113.5841,20.35,33,1,0.45,US,1635380823
avarua,-21.2078,-159.775,24.03,69,75,4.63,CK,1635380907
castro,-24.7911,-50.0119,16.57,91,98,4.88,BR,1635380893
coquimbo,-29.9533,-71.3436,12.85,87,0,3.6,CL,1635380918
mahebourg,-20.4081,57.7,21.81,88,20,2.06,MU,1635380947
taltal,-25.4,-70.4833,17.62,70,23,1.57,CL,1635380947
kismayo,-0.3582,42.5454,25.62,82,5,5.38,SO,1635380948
fuling,29.7022,107.3919,15.77,86,97,0.12,CN,1635380948
pandharpur,17.6667,75.3333,20.71,61,75,3.37,IN,1635380949
pierre,44.3683,-100.351,11.59,76,1,3.13,US,1635380949
velingrad,42.0272,23.9957,1.48,77,0,1.18,BG,1635380949
carnarvon,-24.8667,113.6333,20.04,40,83,6.69,AU,1635380950
mataura,-46.1927,168.8643,21.14,47,7,1.82,NZ,1635380950
leningradskiy,69.3833,178.4167,-11.86,92,100,9.1,RU,1635380951
cherskiy,68.75,161.3,-24.58,94,9,2.35,RU,1635380951
sangmelima,2.9333,11.9833,19.05,99,100,0.94,CM,1635380951
hobart,-42.8794,147.3294,20.7,65,40,0.45,AU,1635380825
cape town,-33.9258,18.4232,17.27,86,40,0.45,ZA,1635380900
nguruka,-5.1092,31.0419,21.94,63,93,1.5,TZ,1635380952
ilulissat,69.2167,-51.1,-9.99,57,100,2.57,GL,1635380953
dikson,73.5069,80.5464,-15.17,97,50,2.32,RU,1635380725
lucapa,-8.4192,20.7447,18.54,95,95,1.48,AO,1635380953
padang,-0.9492,100.3543,23.03,75,93,1.7,ID,1635380954
beringovskiy,63.05,179.3167,-12.42,78,48,6.16,RU,1635380954
hilo,19.7297,-155.09,27.85,67,1,4.63,US,1635380955
sovetskiy,61.3614,63.5842,-1.37,97,100,3.45,RU,1635380955
maragogi,-9.0122,-35.2225,25.06,80,56,4.34,BR,1635380871
porbandar,21.6422,69.6093,26.2,52,5,3.69,IN,1635380956
ruwi,23.5996,58.5507,27.83,59,80,5.08,OM,1635380956
tiarei,-17.5333,-149.3333,28.01,76,10,4.49,PF,1635380957
thompson,55.7435,-97.8558,5.09,100,90,1.03,CA,1635380908
karratha,-20.7377,116.8463,26.17,27,4,4.48,AU,1635380957
jieshi,22.8134,115.8257,24.41,80,61,7.54,CN,1635380675
kaitangata,-46.2817,169.8464,16.81,68,12,3.54,NZ,1635380958
east london,-33.0153,27.9116,19.5,83,100,11.16,ZA,1635380705
uenohara,35.6167,139.1167,18.43,66,35,1.37,JP,1635380958
nhulunbuy,-12.2333,136.7667,31.34,58,20,4.63,AU,1635380717
yeppoon,-23.1333,150.7333,28.88,60,10,5.1,AU,1635380959
vao,-22.6667,167.4833,22.53,85,15,6.79,NC,1635380959
qaanaaq,77.484,-69.3632,-6.09,95,100,4.85,GL,1635380960
busselton,-33.65,115.3333,13.36,64,81,3.86,AU,1635380960
panchgani,17.9167,73.8167,14.14,71,38,2.24,IN,1635380961
vaini,-21.2,-175.2,26.09,83,20,5.66,TO,1635380903
albany,42.6001,-73.9662,11.0,73,100,2.49,US,1635380891
piranshahr,36.701,45.1413,5.18,71,89,1.08,IR,1635380961
nouakchott,18.0858,-15.9785,27.3,55,73,5.39,MR,1635380962
san patricio,28.017,-97.5169,27.13,25,0,7.79,US,1635380962
dzhebariki-khaya,62.2167,135.8,-1.87,96,100,2.66,RU,1635380963
punta arenas,-53.15,-70.9167,9.06,61,0,2.06,CL,1635380889
chicama,-7.8447,-79.1469,16.3,80,17,3.66,PE,1635380963
jos,9.9167,8.9,20.49,64,51,1.17,NG,1635380963
yulara,-25.2406,130.9889,29.91,9,73,5.14,AU,1635380964
kapaa,22.0752,-159.319,28.44,70,1,0.89,US,1635380896
erenhot,43.6475,111.9767,5.12,36,0,3.38,CN,1635380964
lima,-12.0432,-77.0282,19.94,74,0,8.23,PE,1635380633
la asuncion,11.0333,-63.8628,24.85,100,100,4.63,VE,1635380965
dutse,11.7594,9.3392,26.24,29,47,1.65,NG,1635380965
goias,-15.5807,-49.6362,22.81,83,66,2.37,BR,1635380966
buchanan,5.8808,-10.0467,25.68,87,99,2.92,LR,1635380966
manta,-0.95,-80.7333,23.88,83,90,4.12,EC,1635380833
kutum,14.2,24.6667,21.44,19,11,3.78,SD,1635380762
port lincoln,-34.7333,135.8667,16.17,84,69,8.37,AU,1635380967
butaritari,3.0707,172.7902,27.1,75,100,4.56,KI,1635380967
deputatskiy,69.3,139.9,-16.57,97,100,1.16,RU,1635380968
auki,-8.7676,160.7034,30.87,61,52,0.33,SB,1635380968
souillac,-20.5167,57.5167,21.87,88,20,2.06,MU,1635380940
el tigre,8.8875,-64.2454,22.84,93,98,4.81,VE,1635380969
barrow,71.2906,-156.7887,-5.99,79,90,2.06,US,1635380969
nome,64.5011,-165.4064,-3.96,58,1,1.54,US,1635380970
san cristobal,7.7669,-72.225,22.1,98,100,1.54,VE,1635380719
jamestown,42.097,-79.2353,8.8,92,1,0.89,US,1635380886
zabol,32.25,67.25,7.15,23,0,3.09,AF,1635380772
katsuura,35.1333,140.3,20.66,82,99,4.98,JP,1635380711
skibbereen,51.55,-9.2667,13.89,97,100,4.37,IE,1635380971
pinawa,50.1489,-95.8811,6.11,95,100,3.85,CA,1635380971
faanui,-16.4833,-151.75,26.36,80,22,4.9,PF,1635380972
preobrazheniye,42.9019,133.9064,8.02,69,61,3.99,RU,1635380972
bluff,-46.6,168.3333,14.7,71,6,4.29,NZ,1635380973
cidreira,-30.1811,-50.2056,19.98,88,0,5.21,BR,1635380973
san carlos,9.6612,-68.5827,22.25,95,100,0.76,VE,1635380683
pochutla,15.7432,-96.4661,28.79,83,49,2.5,MX,1635380974
ribeira grande,38.5167,-28.7,20.05,75,99,8.35,PT,1635380726
puerto ayora,-0.7393,-90.3518,20.31,93,70,1.34,EC,1635380895
basco,20.4487,121.9702,26.68,70,96,9.98,PH,1635380974
hualmay,-11.0964,-77.6139,18.31,80,19,4.04,PE,1635380975
linjiang,41.8069,126.9078,6.65,62,0,0.39,CN,1635380975
maniitsoq,65.4167,-52.9,-0.38,53,98,3.69,GL,1635380976
sambava,-14.2667,50.1667,21.48,91,16,1.87,MG,1635380976
lachhmangarh,27.8214,75.0251,19.9,45,0,1.49,IN,1635380976
bandrele,-12.9067,45.1914,24.86,88,0,3.09,YT,1635380977
mabaruma,8.2,-59.7833,23.4,95,79,1.42,GY,1635380977
arraial do cabo,-22.9661,-42.0278,22.49,90,100,6.98,BR,1635380741
port-gentil,-0.7193,8.7815,25.49,83,100,5.17,GA,1635380978
okhotsk,59.3833,143.3,-5.81,79,74,2.96,RU,1635380978
itarema,-2.9248,-39.9167,26.71,81,44,6.62,BR,1635380979
tuktoyaktuk,69.4541,-133.0374,-2.0,100,90,3.09,CA,1635380942
ahipara,-35.1667,173.1667,20.11,65,100,2.47,NZ,1635380979
clyde river,70.4692,-68.5914,-2.69,83,100,1.31,CA,1635380979
atuona,-9.8,-139.0333,25.42,70,4,6.63,PF,1635380908
san rafael,-34.6177,-68.3301,28.35,19,69,7.93,AR,1635380906
bambous virieux,-20.3428,57.7575,21.79,88,20,2.06,MU,1635380980
aleksandrov gay,50.147,48.5704,1.78,64,3,5.79,RU,1635380981
georgetown,5.4112,100.3354,27.16,90,20,0.45,MY,1635380687
saint-paul,-21.0096,55.2707,21.06,83,7,0.89,RE,1635380981
ndele,8.4109,20.6473,23.1,85,100,0.35,CF,1635380982
lumeje,-11.55,20.7833,19.16,83,38,2.08,AO,1635380982
davila,18.4726,120.5763,28.99,72,15,9.25,PH,1635380983
charagua,-19.8,-63.2167,23.64,38,0,2.55,BO,1635380983
codrington,-38.2667,141.9667,13.49,90,95,5.67,AU,1635380744
najran,17.4924,44.1277,17.36,27,2,0.41,SA,1635380853
thunder bay,48.4001,-89.3168,9.6,82,90,5.66,CA,1635380816
fare,-16.7,-151.0167,26.44,79,13,4.35,PF,1635380984
port keats,-14.25,129.55,32.15,56,12,2.35,AU,1635380984
touros,-5.1989,-35.4608,26.5,75,5,7.0,BR,1635380823
vung tau,10.346,107.0843,25.69,81,70,3.0,VN,1635380753
ambon,-3.6954,128.1814,30.08,74,40,1.54,ID,1635380788
conde,-7.2597,-34.9075,24.7,83,20,2.57,BR,1635380985
mogadishu,2.0371,45.3438,26.17,82,18,4.9,SO,1635380781
tadine,-21.55,167.8833,25.23,77,20,4.19,NC,1635380986
hermanus,-34.4187,19.2345,16.61,96,89,1.72,ZA,1635380717
quatre cocos,-20.2078,57.7625,21.72,69,4,3.5,MU,1635380986
pevek,69.7008,170.3133,-12.66,90,100,4.32,RU,1635380987
fairbanks,64.8378,-147.7164,-2.02,88,90,0.0,US,1635380893
haines junction,60.7522,-137.5108,-0.03,69,99,0.51,CA,1635380934
singkang,2.1006,102.7994,25.94,90,71,0.77,MY,1635380988
skjervoy,70.0311,20.9714,1.12,70,90,14.57,NO,1635380861
poum,-20.2333,164.0167,24.3,81,2,4.16,NC,1635380988
golden,39.7555,-105.2211,10.71,38,40,6.71,US,1635380711
broome,42.2506,-75.833,10.47,78,90,0.89,US,1635380989
sovetskaya gavan,48.9723,140.2878,6.36,82,100,5.94,RU,1635380989
fortuna,40.5982,-124.1573,19.4,65,1,0.45,US,1635380921
constitucion,-35.3333,-72.4167,12.73,84,19,5.28,CL,1635380990
tautira,-17.7333,-149.15,28.01,76,4,5.38,PF,1635380990
norman wells,65.282,-126.8329,-4.98,86,90,2.06,CA,1635380919
sao filipe,14.8961,-24.4956,26.13,76,95,4.65,CV,1635380991
la paz,-16.5,-68.15,8.99,61,20,4.12,BO,1635380893
aklavik,68.2191,-135.0107,-1.54,93,93,0.64,CA,1635380991
geraldton,-28.7667,114.6,17.23,59,91,5.66,AU,1635380992
panzhihua,26.5851,101.7128,16.86,89,59,0.83,CN,1635380992
khatanga,71.9667,102.5,-16.84,95,100,4.82,RU,1635380993
changtu,42.7788,124.0955,8.53,44,0,1.36,CN,1635380993
mackay,-21.15,149.2,31.49,51,36,5.14,AU,1635380993
santa cruz de la palma,28.6835,-17.7642,20.08,68,0,3.09,ES,1635380994
chokurdakh,70.6333,147.9167,-15.1,90,100,2.23,RU,1635380913
porto novo,6.4965,2.6036,27.9,88,40,2.02,BJ,1635380728
wairoa,-39.0333,177.3667,18.08,86,100,1.79,NZ,1635380995
faya,18.3851,42.4509,15.06,59,56,2.03,SA,1635380995
chkalovsk,56.7647,43.2433,5.77,85,98,7.33,RU,1635380995
portland,45.5234,-122.6762,13.59,91,90,0.89,US,1635380821
san andres,12.5847,-81.7006,29.01,79,20,2.06,CO,1635380996
hithadhoo,-0.6,73.0833,27.71,70,71,6.47,MV,1635380996
great yarmouth,52.6083,1.7305,13.86,87,81,8.56,GB,1635380997
tommot,58.9564,126.2925,2.18,78,100,3.6,RU,1635380997
luderitz,-26.6481,15.1594,17.43,68,100,3.03,NA,1635380998
gold coast,-28.0,153.4333,30.15,72,40,1.34,AU,1635380826
dali,25.7,100.1833,12.4,93,57,1.23,CN,1635380998
tskaltubo,42.3254,42.5979,5.52,81,0,3.09,GE,1635380999
turukhansk,65.8167,87.9833,-14.61,96,100,3.74,RU,1635380999
alice springs,-23.7,133.8833,32.75,31,0,8.23,AU,1635380896
cap-aux-meules,47.3821,-61.8597,9.03,66,75,9.77,CA,1635381000
chokwe,-24.5333,32.9833,18.93,91,53,2.62,MZ,1635381000
mitchell,43.7094,-98.0298,8.99,90,90,1.79,US,1635381001
acapulco,16.8634,-99.8901,27.9,83,40,2.57,MX,1635380890
te anau,-45.4167,167.7167,18.23,59,13,1.31,NZ,1635381002
tasiilaq,65.6145,-37.6368,0.09,70,18,3.01,GL,1635381003
sabang,5.8933,95.3214,27.08,78,69,3.14,ID,1635381003
irbeyskoye,55.6428,95.4522,-1.99,66,100,3.28,RU,1635381004
mar del plata,-38.0023,-57.5575,19.01,77,0,3.6,AR,1635380733
parati,-23.2178,-44.7131,22.38,99,100,0.54,BR,1635381005
thinadhoo,0.5333,72.9333,28.16,73,27,6.24,MV,1635381006
ayorou,14.7308,0.9174,30.4,24,24,2.89,NE,1635381007
yellowknife,62.456,-114.3525,3.56,99,90,2.06,CA,1635381008
port elizabeth,-33.918,25.5701,18.16,88,0,4.12,ZA,1635381008
narsaq,60.9167,-46.05,-0.88,61,14,3.2,GL,1635381009
inuvik,68.3499,-133.7218,-1.52,93,90,0.51,CA,1635381010
benguela,-12.5763,13.4055,22.62,78,100,1.43,AO,1635381010
calbuco,-41.768,-73.1273,11.56,88,0,2.33,CL,1635381011
karaton,-6.3424,106.1045,27.75,88,100,0.53,ID,1635381012
krasnoborsk,61.5598,45.934,2.38,95,100,4.02,RU,1635381013
provideniya,64.3833,-173.3,-5.94,58,90,3.0,RU,1635381013
vila franca do campo,37.7167,-25.4333,20.23,84,100,4.3,PT,1635381014
payakumbuh,-0.2202,100.6308,24.4,72,100,0.57,ID,1635381014
komsomolskiy,40.4272,71.7189,9.4,61,100,3.09,UZ,1635381015
ganzhou,28.8184,115.4327,19.32,61,74,1.37,CN,1635381015
yeniseysk,58.4497,92.1703,-3.21,80,13,3.32,RU,1635381016
talnakh,69.4865,88.3972,-22.41,99,97,2.44,RU,1635381016
kilindoni,-7.9139,39.6668,25.43,79,23,2.76,TZ,1635381017
ketchikan,55.3422,-131.6461,7.26,87,75,3.6,US,1635381017
syedove,47.0768,38.156,3.33,46,0,3.05,UA,1635381017
los llanos de aridane,28.6585,-17.9182,17.86,79,0,2.68,ES,1635381018
macon,39.8667,-88.9668,13.2,71,1,5.14,US,1635381018
coahuayana,18.7333,-103.6833,29.71,85,89,0.83,MX,1635381019
port macquarie,-31.4333,152.9167,27.72,59,61,4.87,AU,1635381019
mount gambier,-37.8333,140.7667,15.95,88,90,5.14,AU,1635380963
chuy,-33.6971,-53.4616,18.58,77,0,2.73,UY,1635381020
karaman,37.0833,33.25,9.19,46,92,1.12,TR,1635380832
jaisalmer,26.9147,70.9181,23.66,31,0,3.6,IN,1635381020
takoradi,4.8845,-1.7554,25.31,88,15,3.52,GH,1635380843
manjeshwar,12.7194,74.8861,25.53,86,100,2.27,IN,1635381021
iqaluit,63.7506,-68.5145,-2.15,86,75,1.34,CA,1635381021
henties bay,-22.116,14.2845,16.03,78,19,1.63,NA,1635381021
beloha,-25.1667,45.05,18.94,71,97,6.68,MG,1635381022
pavagada,14.1,77.2667,19.78,75,100,2.62,IN,1635381022
evensk,61.95,159.2333,-10.4,90,100,2.15,RU,1635381023
soavinandriana,-19.1667,46.7333,14.33,81,5,1.25,MG,1635381023
bredasdorp,-34.5322,20.0403,16.62,94,100,2.06,ZA,1635381023
severo-kurilsk,50.6789,156.125,6.64,90,87,4.05,RU,1635381024
siemiatycze,52.4272,22.8623,11.81,88,100,4.82,PL,1635381024
mazamari,-11.3258,-74.5308,24.24,68,90,0.66,PE,1635381025
chapais,49.7834,-74.8492,-0.12,79,18,2.28,CA,1635381025
vagur,61.4732,-6.8119,9.43,85,100,9.69,FO,1635381025
port augusta,-32.5,137.7667,31.5,24,0,14.47,AU,1635381026
bermeo,43.4209,-2.7215,13.93,68,66,2.3,ES,1635381026
klaksvik,62.2266,-6.589,7.51,80,90,8.02,FO,1635381027
half moon bay,37.4636,-122.4286,24.02,71,20,5.14,US,1635380951
mocuba,-16.8392,36.9856,22.06,85,82,3.12,MZ,1635381027
esperance,-33.8667,121.9,10.91,66,69,10.37,AU,1635381028
broken hill,-31.95,141.4333,32.85,25,71,12.9,AU,1635381029
kabanjahe,3.1001,98.4908,17.42,82,65,0.63,ID,1635381029
cabedelo,-6.9811,-34.8339,25.37,79,34,5.6,BR,1635381030
pauri,30.15,78.7833,8.96,62,0,2.21,IN,1635381030
opuwo,-18.0607,13.84,19.84,31,46,2.14,NA,1635380847
camacha,33.0833,-16.3333,18.42,82,20,1.54,PT,1635380991
necochea,-38.5473,-58.7368,21.69,73,0,5.21,AR,1635381031
brownfield,33.1812,-102.2744,18.95,21,0,4.42,US,1635381031
mandalgovi,45.7625,106.2708,2.78,42,0,3.57,MN,1635381032
lanchyn,48.5578,24.7562,5.75,73,98,1.77,UA,1635381032
bilibino,68.0546,166.4372,-25.61,96,37,0.96,RU,1635380975
nioro,13.35,-15.75,26.15,79,63,2.74,GM,1635380825
marrakesh,31.6315,-8.0083,18.04,68,40,2.06,MA,1635381033
bintulu,3.1667,113.0333,26.23,94,40,0.89,MY,1635381033
kodiak,57.79,-152.4072,4.96,66,78,3.08,US,1635381033
gazojak,41.1875,61.4036,5.4,79,100,3.89,TM,1635381034
kondopoga,62.2057,34.2614,3.82,98,100,2.35,RU,1635381034
vanimo,-2.6741,141.3028,28.66,75,43,2.28,PG,1635381035
ponta do sol,32.6667,-17.1,20.4,70,7,0.95,PT,1635380808
victoria,22.2855,114.1577,26.13,78,65,0.89,HK,1635381035
kinablangan,7.6947,126.5503,28.69,71,100,1.18,PH,1635381036
pernem,15.7167,73.8,22.88,64,90,2.54,IN,1635381036
uray,60.1247,64.7758,-0.68,97,100,4.51,RU,1635381037
kudahuvadhoo,2.6708,72.8944,27.35,76,95,4.15,MV,1635380834
sarab,38.6066,44.9883,4.65,41,0,0.65,IR,1635381037
great bend,38.3645,-98.7648,13.82,65,90,8.05,US,1635381038
torbay,47.6666,-52.7314,4.21,88,90,5.66,CA,1635381038
makakilo city,21.3469,-158.0858,28.67,59,75,4.63,US,1635381039
havre-saint-pierre,50.2334,-63.5986,6.0,93,1,2.57,CA,1635381039
ambilobe,-13.2,49.05,21.33,86,58,0.52,MG,1635381039
semporna,4.4818,118.6112,28.11,77,12,1.08,MY,1635381040
otradnoye,59.7775,30.8181,8.91,94,100,2.91,RU,1635381014
glendive,47.1053,-104.7125,11.35,71,20,3.6,US,1635381040
nuevo progreso,23.1667,-97.95,32.55,62,20,0.45,MX,1635381041
tiksi,71.6872,128.8694,-16.05,98,90,1.66,RU,1635381041
gornopravdinsk,60.05,69.9,-1.8,96,100,4.25,RU,1635380878
rockland,41.1668,-74.0496,14.56,74,100,3.33,US,1635381042
kloulklubed,7.0419,134.2556,30.28,70,100,3.95,PW,1635381042
lavrentiya,65.5833,-171.0,-9.08,73,90,3.44,RU,1635381043
ishigaki,24.3448,124.1572,24.07,60,20,4.12,JP,1635381043
longyearbyen,78.2186,15.6401,-6.09,68,75,3.09,SJ,1635381044
guerrero negro,27.9769,-114.0611,22.03,56,0,4.72,MX,1635381013
wenling,28.3669,121.36,18.84,74,99,2.89,CN,1635381044
aracaju,-10.9111,-37.0717,25.97,78,75,1.54,BR,1635381045
ostrovnoy,68.0531,39.5131,-0.8,65,89,5.49,RU,1635380748
nikolskoye,59.7035,30.7861,8.82,95,100,2.6,RU,1635380906
lithakia,37.7167,20.8333,9.65,65,12,3.39,GR,1635381045
acarau,-2.8856,-40.12,26.69,81,58,6.96,BR,1635381046
cabo san lucas,22.8909,-109.9124,29.17,66,40,2.06,MX,1635381046
mao,39.8885,4.2658,14.31,82,0,1.54,ES,1635381047
lagunas,-5.2269,-75.6753,24.09,84,100,1.27,PE,1635380872
olafsvik,64.8945,-23.7142,4.22,96,100,12.66,IS,1635380991
papara,-3.9839,-38.7273,27.22,86,31,2.32,BR,1635381047
saskylakh,71.9167,114.0833,-21.53,100,100,1.91,RU,1635380898
oeiras do para,-2.0031,-49.8544,23.71,93,96,1.61,BR,1635381048
yicheng,31.3705,119.8703,17.43,58,75,3.49,CN,1635381048
kavieng,-2.5744,150.7967,29.86,68,23,4.43,PG,1635381049
kiruna,67.8557,20.2251,-5.49,93,90,1.54,SE,1635381049
